bn_phrases
"হাজী মফিজুর রহমান জামের মসজিদ পাঠাগার, "
"খিলবাইচা, "
"কাচারী বাড়ি, "
"মহেশখালী, "
"সড়ক ৩০৫/১, "
"শ্রীনিবাসকাঠী সতন্ত্র এবতেদিয়া মাদ্রাসা, "
"সুমির হট কেক, "
রামপাল তাপ বিদ্যুৎকেন্দ্র রোড
"একতা টি সপ, "
"হাজীবাড়ি জামে মসজিদ, "
"গিরদা উর্দু রোড, "
"যুগিনগর রোড, "
"বগুড়া - নওগাঁ মহাসড়ক, "
"ডি বলক ৬ নং সড়ক, "
"দকষিণপাড়া বটতলা রোড, "
"বৈসাবী রেস্তোরাঁ এন্ড পার্টি সেন্টার, "
"মানুরবাগ ফার্মেসি, "
"উত্তর বাঘইল রোড, "
রংপুর-ভেন্ডাবারী রোড
"নতুন বাজার, "
"সাকা হাফং, "
"রুহিয়া, "
"তেতুলিয়া ডিগ্রি কলেজ, "
"সিহিরচো, "
"হাফেজ শরীফ জামে মসজিদ, "
"নওয়াবেঁকি, "
চাইন্দা ফরেস্ট অফিস সড়ক
"দাশুড়িয়া, "
"লাইট মেডিকেল স্টোর, "
"চায়না পার্ক রেস্টুরেন্ট, "
"মনোহরদী দক্ষিনপাড়া সরকারী প্রাথমিক বিদ্যালয়, "
"গোয়ালন্দ বাজার, "
"শালুকগাড়ি জামে মসজিদ, "
"হক ডিপার্টমেন্টাল ষ্টোর, "
"আবদল গফফার জামে মসজিদ গলি, "
"িনাইদহ-মাগরা মহাসড়ক, "
তাড়াশ-মাননান নগর রোড
"ওমরপুর, "
"বাংলাদেশ ইউনিভার্সিটি অব বিজনেস অ্যান্ড টেকনোলজি, "
"বিসসি কোয়ারটার পথ, "
"অমর বই ঘর, "
"ভূতলা - নবীনগর - রাধিকা সড়ক, "
"মোল্লাবাজার, "
"মাঠ সড়ক, "
"হিলি স্থানীয় বাস স্টপ, "
"খাজা গরীবে নেওয়াজ জামে মসজিদ, "
"দত্তশোল্লা, "
"আর রাযযাক হোটেল এন্ড রেস্টুরেন্ট, "
"মানিকনগর, "
"আল আরাফাহ্ ইসলামী ব্যাংক, "
"কুলিয়ারচর, "
"সোনালি ব্যাংক, "
"চাঁদপুর এম.এ. খালেক মেমোরিয়াল স্কুল এন্ড কলেজ, "
"ঈদগড়, "
"বাইশগাঁও বাজার, "
"কয়রা উপজেলা, "
"আলাউল এভিনিউ, "
"সড়ক ৭ ব্লক এফ, "
"তুলাতলী বাজার, "
"মাওয়া-ভাঙ্গা মহাসড়ক, "
"চিটাগাং ইনস্টিটিউট অফ ইঞ্জিনিয়ারিং এন্ড টেকনোলজি, "
"চন্ডিপুর জামে মসজিদ, "
"তারাবো, "
"মাদরাসা সড়ক, "
"ডাচ্ - বাংলা ব্যাংক, "
"আমিনবাজার, "
"শানতিবাগ রোড, "
"শ্রী শ্রী কালী মন্দির, "
"পিনাকল মেডিসিন কর্ণার, "
"আমড়াগাছিয়া বাজার, "
"এলেনবাড়ী, "
"পাগলা, "
"ট্রাস্ট ব্যাংক এটিএম বুথ, "
"জয় বাংলা বাজার, "
"লেক ডরাইভ রোড, "
"খাস চর, "
"সেতু, "
"দত্তপাড়া তদন্ত কেন্দ্র, "
"সৈয়দ হাতেম আলী কলেজ জামে মসজিদ, "
"নবকলস, "
"শুকুরেরহাট, "
"আন্দিরপাড়, "
"নগরপাড় কেন্দ্রীয় জামে মসজিদ, "
"খাসকররা আলমডাঙ্গা সড়ক, "
"বয়রা, "
"জৈন্তাপুর, "
"আগারগাঁও লিংক রোড, "
"রাজাবাজার, "
"পরিবাগ, "
"দেলুটি ইউনিয়ন ভূমি অফিস, "
"কেডিএ শিরোমনি মার্কেট, "
"দৌলতপর সকল রোড, "
"তালোড়া, "
"বারোবাজার রেলওয়ে স্টেশন, "
"বাংলাদেশ রোড ট্রান্সপোর্ট অথরিটি বিআরটিসি টাঙ্গাইল সার্কেল।, "
"আনসার-ভিডিপি উন্নয়ন ব্যাংক, "
"ভান্ডারিয়া-কাঠালিয়া সড়ক, "
"নাজমুল ষ্টোর, "
"ঢাকা - টাঙ্গাইল মহাসড়ক, "
"সড়ক ১৩১, "
"ভাটিপাড়া, "
"শ্যামপুর টার্মিনাল, "
"নতুল্লাবাদ বাস টার্মিনাল, "
"চর পালালোকদি, "
"মীরকুন্ডি, "
"তেউটিয়া, "
"ইসলামি ব্যাংক লিঃ, "
"আতাতুর্ক মডেল হাই স্কুল খেলার মাঠ, "
"ছয় তারা হোটেল, "
"সিদলা, "
"আবুর হাটি জামে মসজিদ, "
"সরকারি আজিজুল হক কলেজ, "
"রবীনদর সরণী, "
"রসুলপুর শ্রী শ্রী ১০৮ স্বামী নিগমানন্দ সারস্বত সংঘাশ্রম, "
"সড়ক ১০ সেকটর ১৪, "
"ফুলজোর ডিগ্রি কলেজ, "
"সাতকষীরা জেলা, "
"বারুহাস ঈদগাহ মাঠ, "
"ঢাকা মার্কেন্টাইল ব্যাংক, "
"উচঙ্গা, "
"মা ইলেকট্রনিক্স এন্ড ফার্নিচার, "
"জড়ি-লাঠিটিলা রোড, "
"কাজীপুর, "
"ধামালিয়া, "
"লতা পাহাড়পুর, "
"বেইলী ব্রিজ, "
"রাসেল টেলিকম, "
"বালই বরিজ, "
"চকযাদু সড়ক, "
"বরিশাল-ভোলা মহাসড়ক, "
"এইচএসবিসি, "
"গণতন্ত্র তোরণ ঢাকা বিশ্ববিদ্যালয়, "
"সড়ক ৯/এ, "
"মেসার্স ঈশ্বর চন্দ্র জুয়েলারী, "
"সুনামগঞ্জ-সিলেট মহাসড়ক, "
"সাটুরিয়া, "
"সড়ক ৭০, "
"বাকুন্দা, "
"ব্যাংক এশিয়া লিমিটেড, "
"বক্সগঞ্জ উচ্চ বিদ্যালয়, "
কষটিয়া রাজশাহী মহাসড়ক
সাইনবোর্ড অটো ষ্টেশন
"চর হোগলা, "
"আমনুরা, "
"৬০ ফুট, "
"সোনাইমুড়ি, "
"কাঠালিয়া, "
"আজিমপুর বাজার সাহেব বারী, "
"পল্লী মঙ্গল কর্সূমচী মিরপুর শাখা, "
"হরিপুর, "
"বিজেআরআই সড়ক, "
"বন্দরটিলা বাজার, "
"উপাধিক, "
"বাইপাস রোড, "
"রোড ৩৩, "
"রোড ১৮, "
"আবল মিয়ার বাড়ির গলি, "
"দামোদরদী, "
"বনলতা বুটিকস এন্ড ট্রেনিং সেন্টার, "
"সরজবাগ মসজিদ গলি, "
"শ্রী শ্রী লোকনাথ ব্রহ্মচারী সেবাশ্রম​ আনোয়ারা, "
"কুলে শ্রীকন্ঠপুর, "
"ডিবিবিএল বুথ, "
"সার্স সুপ্রভাত ফিলিং সার্ভিস, "
"ঘাগড়া জামে মসজিদ গাগড়া জামে মসজিদ, "
"ইউনিয়ন ব্যাংক লিমিটেড, "
"চামেলিবাগ, "
"রোড ১৬, "
"ঘোড়াঘাট, "
"সারণ পাড়া, "
"নোয়াগাঁও, "
"পিজি হাসপাতাল, "
"সেফ ডে কেয়ার হোম, "
"আইটি প্যালেস কম্পিউটার ট্রেনিং সেন্টার, "
"বগুড়া রেলওয়ে স্টেশন, "
"ফুড পার্ক, "
"বালিচাটিয়া, "
"কালিয়া উপজেলা, "
"পাগলা রেল স্টেশন, "
"মিঠাই বনশ্রী, "
"অতিশ দীপঙ্কর সড়ক, "
"দামোদর, "
"মনুয়ারকান্দি, "
"মনির চেয়ারম্যান গলি, "
"মেডিসিন্স সান্স ফ্রন্টিয়ার্স, "
"ড. মিলন স্মৃতি, "
"নালাম সড়ক, "
"আহমদবাগ, "
"বসুন্ধরা বাস স্টপ, "
"মেঘনা লাইফ ইন্সুরেন্স, "
"মাহমুদনগর, "
"ঢাকা-বরিশাল মহাসড়ক, "
"বামুন্দি-হাটবোয়ালিয়া-আলমডাঙ্গা সড়ক, "
রসায়ন ভবন রোড
"চন্দ্রিমা কাঁচাবাজার, "
"মিরপুর বালিকা আদর্শ বিদ্যালয় ও কলেজ, "
বাগেরহাট ফকিরহাট রোড
"মধুমতি গলি, "
"বড়গ্রাম কুড়ারঘাট মূল সড়ক, "
"রাজশাহী জেলা, "
"দীঘি সগুনা, "
"মাওয়া ফেরি টারমিনাল সড়ক, "
"সালমা জেনারেল স্টোর, "
"দোহার উপজেলা, "
উত্তরের সড়ক
অর্জুনা হাসপাতাল রোড
"এবাদত প্লাজা, "
"কচয়া উপজেলা, "
"মগদেশ্বরী মন্দির, "
"করমিটোলা সড়ক, "
"রূপনগর ২ নং লেন, "
"ধলেশ্বরী সেতু ২, "
"বারৈপাড়া, "
"এনসিসি ব্যাংক লিমিটেড হাটহাজারী শাখা, "
"প্লানেট পার্ক, "
"বেগম রোকেয়া হল, "
"সকাল-সন্ধ্যা মিষ্টান্ন ভাণ্ডার, "
"ভোগড়া, "
"সড়ক ২ সেকটর ১, "
"সেক্টর ১৯, "
"আফিয়া সিএনজি এন্ড ফিলিং ষ্টেশন -1, "
"ম আজিজ ভিআইপি সড়ক, "
"কালশী সড়ক, "
"ক্রিসেন্ট ডেন্টাল সেন্টার, "
"ঢাকা সেনানিবাস, "
"শহীদ রফিক-জব্বার হল মসজিদ, "
অরজনা রোড
"ভুঁইয়াগাঁতী, "
"ফাতেমা বস্র বিতান, "
"জামতলা সমুদ্র সৈকত, "
"চটটগরাম - খাগড়াছড়ি মহাসড়ক, "
ইউসুফনগর-ধনিরামপুর সড়ক
"রহমত উল্লাহ্‌ রঃ এর রওজা শরীফ, "
"লক্ষীপাশা বাজার, "
"রানাভোলা, "
"সিপি ফাইল স্টার, "
"কাউলীবেড়া বাজার, "
"জাতিসংঘ গোলচক্কর, "
"সাতপুকুরিয়া, "
"আদি টাঙ্গাইল সুইটস, "
মরহুম হেলাল মেম্বার বাড়ী রোড
"মেরুল বাড্ডা স্টপ - হাতিরঝিল চক্রাকার বাস, "
"নয়নগর, "
"খিলক্ষেত পশ্চিম বাস স্টপ, "
"গোড়ান, "
"সড়ক ১২, "
"হোটেল মানিক আবাসিক, "
"ওহিম উদদিন সড়ক, "
"ঢাকা সিটি স্কুল, "
"রাজঘাট, "
"৬০ ফট, "
"ডাচ-বাংলা এজেন্ট ব্যাংকিং, "
"পোস্তগোলা, "
"মেজর ম জলিল সড়ক, "
"মাসুদ হোমিও হল, "
"আইআরএস, "
"মাইস্টিক ইন্টারনেশনাল স্কুল, "
"হোটেল মৌবন, "
"কেওড়াবুনিয়া বাজার, "
"পূরব আলী নগর ৩ নং গলি, "
"ডাঙ্গার হাট - গহরপুর সড়ক, "
"বিআরটিসি বরিশাল বাস ডিপো, "
"কাচারী বাজার, "
"ঢাকা কলেজ শহীদ মিনার, "
"পোড়াদিয়া, "
"রোকেয়া আজিজ ক্লিনিক, "
"পচাইয়া, "
"কচুয়াখালী চর, "
"বাংলাদেশ টেনিস ফেডারেশন, "
"জনতা ব্যাংক লিমিটেড, "
"প্রশিক্ষণ কেন্দ্র বালক হল, "
"রাজবাড়ী, "
ধানয়া দকষিণ পাড়া
"ইব্রাহিম ফিলিং স্টেশন, "
"রোড নম্বর ৪ পিসিকালচার হাউজিং সোসাইটি, "
"টেরিয়াইল বাজার, "
"কোটচাঁদপুর, "
"নির্বাচন কমিশন, "
"ভিভিআইপি টার্মিনালের প্রবেশপথ, "
"ডিওইচস বাইপাস সড়ক, "
"আমতলা, "
"শিয়ালী, "
"আলোর সন্ধান সঞ্চয় ও ঋণদান সমবায় সমিতি, "
"সেনপাড়া, "
"শুকতারা হোটেল এন্ড রেস্টুরেন্ট, "
"টনির হাট - ডিমলা সড়ক, "
"আজিমপর তিমখানা সড়ক, "
"অম্বিকাপুর, "
"নাফিস এন্টারপ্রাইজ, "
"উত্তর বাড্ডা জামে মসজিদ, "
শেখ রাসেল সেতু
"মিরপুর মডেল থানা, "
"কাঠ পট্টি মোচড়ের গলি, "
"মোল্লাহাট, "
গাংনী ট শিয়ালী রপসা রোড
"লিলি ফার্মেসী, "
"রাজশাহী মহিলা ক্রীড়া কমপ্লেক্স, "
"কদমপুর, "
"কাউখালী উপজেলা পরিষদ, "
"জমির শাহ মার্কেট, "
শহীদ মিনার সড়ক
"মিডনাইট সান ২, "
"মণিহার, "
"নিজামউদদিন সড়ক, "
"ইউনিভার্সিটি অফ লিবারেল আর্টস, "
"মীম ইন্টারন্যাশনাল স্কুল, "
"বাইশগাঁও, "
"মসজিদ আল-আকসা, "
"আল আমিন বোরকা হাউজ, "
"পিলকুঞ্জ, "
"বছিলা সড়ক, "
"চৌগাছা, "
"ডাচ্‌-বাংলা ব্যাংক লিমিটেড এটিএম, "
মৌমারী
"ঢাকা-কুয়াকাটা মহাসড়ক, "
"অন্তরঙ্গ শাড়ি বিতান, "
"মেঘদাইর, "
"গুলশাখালী, "
"সিঙ্গুয়া, "
"সন্ত্রাস বিরোধী রাজু স্মারক ভাস্কর্য, "
"কালকিনি, "
"শহর দীঘি, "
"শিমুলতলা মসজিদ, "
"মতির বাজার, "
"চেয়ারমযান বাড়ির মোচড়ের গলি, "
"ভাই ভাই হোটেল এন্ড রেসটুরেন্ট, "
"জলপরী রিসোর্ট, "
"খলিল ফার্নিচার গার্ডেন, "
"স্কুল মাঠ, "
"দিনা মেডিসিন কর্নার, "
"ঠাকরগঞজ - ডাঙগার হাট সড়ক, "
"বাংলা মোটর বাস স্টপ, "
"পাঁচঘড়িয়া, "
"টাঙ্গাইল কালেক্টরেট বালিকা উচ্চ বিদ্যালয় ও কলেজ, "
"সলিম ভাইয়ের চা গলি, "
"মুশিগাড়ি-কুস্তা জামে মসজিদ, "
"ফুরমোন পাহাড়, "
"ধানুয়া দক্ষিণপাড়া মসজিদ, "
"নবোদয় হাউজিং, "
"মহস্হান হাট, "
"রাজারগাঁও, "
"বাকলিয়া চর, "
"কষটিয়া - িনাইদহ মহাসড়ক, "
"হাইমচর উপজেলা, "
"ধলঘাট, "
"শ্যামলী বাস স্টপ, "
"জেল রোড জামে মসজিদ যশোর।, "
"শাহরাসতি উপজেলা, "
"মিরপুর ইম্পেরিয়াল স্কুল, "
"ভূইয়ার বাড়ি জামে মসজিদ, "
"মির্জা আব্বাস মহিলা ডিগ্রী কলেজ, "
"পাসপোর্ট অফিস সড়ক, "
"ধনবাড়ী নবাব ইনস্টিটিউশন খেলার মাঠ, "
"বাইতল মোকাররম সড়ক, "
"গাবতলী ল্যান্ডিং স্টেশন, "
"নাকুগাঁও, "
"নিঝুম আবাসিক এলাকা, "
"হযরতপুর, "
"মমিসাং কিন্ডার গার্টেন স্কুল, "
"দয়াল কফি হাউজ জৈনা বাজার, "
"ব্রাহ্মণ সাখুয়া, "
"গফরগাঁও রেলওয়ে স্টেশন, "
"নবগরাম সড়ক, "
"কামালাপুর বক্স কাল ভারট রোড, "
তেবাইদা রাস্তা
"আলহাজব আবদস সোবহান সড়ক, "
"চায়নামোড় জামে মসজিদ মোমেনশাহী, "
"ঈশা খাঁ সড়ক, "
পালাখাল পশচিম পাড়া জামে মসজিদ রোড
"উড়িরচর, "
"বাগান বাড়ি, "
"কেনদয়া- ঈশবরগঞজ, "
"বেচারাম দেউড়ি, "
"জঙ্গল ইসলামাবাদ, "
"গারাবাড়ি পশ্চিমপাড়া জামে মসজিদ, "
"সোনালী ব্যাংক লিমিটেড এটিএম, "
"আলীনগর ৩ নং গলি, "
"ভলতা ফলাইওভার, "
"আদিতমারী উপজেলা, "
"আত্মবিশ্বাস পল্লী উন্নয়ন সংস্থা, "
সনদরপর আজিমপর টাইগার কলাব রোড
"খিলগাও কাচা বাজার, "
"চিরাপাড়া ইউনিয়ন, "
"মুজিত টি স্টল, "
"প্রাথমিক শিক্ষক প্রশিক্ষণ ইনস্টিটিউট, "
"নূর মনসীর গলি নতন বাজার, "
"যুগীহাটি, "
"ঘটখালী বাজার, "
"হুসেনের মোড়, "
"সেনের বাজার, "
"আল-আমিন অটো, "
"মিরপুর ফার্মেসি, "
"ঘারিন্দা, "
"রূপালী ব্যাংক লিমিটেড এনায়েতপুর শাখার, "
"কস্তুরী, "
"সিংড়া, "
"চাষাড়া গোল চক্কর, "
"খিলগাও থানা, "
"আইয়ুব আলী খাঁর দোকান, "
"সড়ক ৯, "
"উরদ রোড, "
"চালিয়া পাড়া, "
"ইটালি, "
"পলাশবাড়ী, "
"কুষ্টিয়া, "
"সান্তাহার, "
"জামিয়া মাদানিয়া মসজিদ, "
"টাঙগাইল-ভয়াপর মহাসড়ক, "
"বরপা, "
"ভিটি লতরদি, "
"ভাগলপুর, "
"নানিয়ারচর, "
"সৈয়দ নজরুল ইসলাম সরণী, "
"সিক্রেট রেসিপি, "
"খান বাড়ি, "
"আশার আলো শিশু শিক্ষা, "
"স্কয়ার হাসপাতাল হেলিপ্যাড, "
"ঝাউতলা, "
"শাবানপুর, "
"কাজীপাড়া, "
"মানিক খালী, "
"ব্র্যাক মানসী কেন্দ্র সালেহা, "
মৌলভীর হাট-খননা সড়ক
"রাজশাহী মডেল হাসপাতাল, "
"পিরোজপুর-হাওদা বিল সড়ক, "
"পাথরঘাটা, "
"ব্রাহ্মণবাড়িয়া স্টেশন, "
"মহিরউদদিন সড়ক, "
"হাটিলা, "
"কর্ণফুলী মেরিনার্স পার্ক, "
"সড়ক ২ সেক্টর ১, "
"সেন্টমার্টিন কমিউনিটি সেন্টার, "
"ধুলিয়াউড়া, "
খোড়াতলির মোড়
বড়ী তিসতা বেইলি বরিজ
আঠারো মাইল ট তালা রোড
"জয়পুর, "
"খোলাহাটী, "
"চরকালিগঞ্জ, "
"পপি লাইব্রেরী, "
বড় বাড়ি রোড কুমিল্লা
"আব্দুল্লাহপুর, "
শায়েসতা খান রোড
"বাকেরগঞ্জ সরকারি কলেজ, "
"শাহ জালাল স্যানিটারি এলএলপি হোম গুডস স্টোর, "
"রহমতবাগ ১ নং গলি, "
"সড়ক ৬ সেক্টর ১, "
"রাসেল হোটেল এন্ড রেস্টুরেন্ট, "
"মৌচাক বাস স্টপ, "
"বাঁধঘাট বাজার, "
"কলমাকানদা দরগাপর সড়ক, "
খলিলগঞ্জ রোড
"উনমেষ দতত সড়ক, "
"বরুয়া, "
"মুরাদপুর সন্দীপ ঘাটঘর সড়ক, "
"বড়বাগ, "
"রাজশাহী কৃষি উন্নয়ন ব্যাংক পীরগনজ্ শাখা, "
"মাছের বাজার, "
"ফায়দাবাদ মূল সড়ক, "
"করাইল বাইতুল আমান জামে মসজিদ ও মক্তব, "
"সিদ্ধিরগঞ্জ পুল বাস স্ট্যান্ড, "
"বাঙ্গালহালিয়া কাঁচা বাজার, "
"পাইকড়া, "
"আচল বিউটি পার্লার এন্ড ট্রেনিং সেন্টার, "
"দাইন্যা, "
"ঢাকা বিজ্ঞান কলেজ, "
"প্রিয়া মেডিসিন কর্ণার, "
"ব্রাক ব্যাংক, "
"মোহাম্মদবাগ, "
"বশির উদ্দিন স্কুল মাঠ, "
"কয়েতি মসজিদ রোড, "
"ডাঙ্গার হাট - ডিমলা সড়ক, "
"শয়াইর, "
সুইস গেট রোড
"তেলিমাছুয়া, "
"কামরুননাহার প্লাজা, "
সকল অব কসিলেনস
"শায়েস্তগঞ্জ-হবিগঞ্জ মহাসড়ক, "
"নৈহাটী, "
"ব্লক বি সড়ক ৪, "
"হাতীবান্ধা আলিমুদ্দিন অনার্স কলেজ, "
"ফেনী সরকারি বালিকা উচ্চ বিদ্যালয়, "
"মনসীগঞজ-লৌহজং-মাওয়া সড়ক, "
"মহানগর, "
"দাগনভূঁইয়া উপজেলা স্বাস্থ্য কমপ্লেক্স, "
তাড়াশ-মান্নান নগর রোড
"সানন্দকরা, "
"শাপলা চত্বর, "
"জাতীয় স্মৃতিসৌধ, "
"গজালিয়া, "
"জুতার ফ্যাক্টরি গলি, "
"চট্টগ্রাম - খাগড়াছড়ি মহাসড়ক, "
"সড়ক ৭, "
"ফেনী মডেল থানা, "
"স মিল, "
"রঘুরামপুর, "
মহাপরভূ আখড়া সড়ক
"জামতলি, "
"কাউনিয়া শাহী জামে মসজিদ, "
শানতিনগর রাসতা
"মানিক মিয়া মাধ্যমিক বিদ্যালয়, "
"কালামিয়া, "
"সিএমবি বাস স্টপ, "
"ফাতেমা মেডিকেল হল, "
"বাঁশতলা-বাহ্রা সড়ক, "
"নরসিংদী রেলওয়ে স্টেশন, "
"মমরেজকান্দি, "
"হবিগঞ্জ-লাখাই-নাসিরনগর সড়ক, "
"পূর্ব রাজাবাজার, "
"বদিউজ্জামাপুর, "
"সড়ক ১৩, "
"অলংকার, "
"কাঁঠালবাড়ি, "
"বিবি জোহরা, "
"স্টাফ কোয়ার্টার স্কুল মাঠ, "
"ইউনানি ও আয়ুর্বেদিক মেডিক্যাল কলেজ ও হাসপাতাল, "
"সোনালী ব্যাংক লিমিটেড নারায়ণগঞ্জ কর্পোরেট শাখা নারায়ণগঞ্জ, "
"কাঁচপুর, "
"বরঙগাইল - ঘিওর - দৌলতপর - টাঙগাইল সড়ক, "
"মধয মোমিনবাগ সড়ক নং ৩, "
"এন সি সি ব্যাংক, "
"শহীদ হাদিস পার্ক, "
"পূর্ব রসুলপুর মূল সড়ক, "
"যুব সংসদ বাজার, "
"মনোহরপুর, "
"শিলবনিয়া সমুদ্র সৈকত, "
"খুলনার ধাপ, "
"দিনাজপর - পীরগঞজ সড়ক, "
"সার্কিট হাউস, "
"মতলব উততর উপজেলা, "
"আশরাফুল উলুম নিজপাট মাদ্রাসা, "
"আহসানউললাহ সড়ক, "
"ডিসি লেক শিশু পার্ক, "
"সোভানগঞ্জ বাজার, "
"উত্তর রামপুর ফোরকানিয়া মাদ্রাসা, "
"সড়ক ১১, "
"গাড়াগ্রাম, "
"দিনাজপুর, "
"খাসপাড়া বাগবাড়ী জামে মসজিদ, "
"কষটিয়া - চয়াডাঙগা মহাসড়ক, "
"দৌলতখান, "
"মাদানী ভিনিউ, "
"শয়তানের বাজার, "
"বেড়া শহীদ আঃ খালেক স্টেডিয়াম, "
"বাহাদুর শাহ পার্ক ভিক্টোরিয়া পার্ক, "
"আমতলী দারুল কোরআন এমদাদীয়া মাদ্রাসা, "
"চিরাপাড়া বরিজ, "
"পলাশ টেলিকম এণ্ড জেনারেল স্টোর, "
"আবুল হাসনাত সড়ক, "
"রায় সাহেব বাজার, "
"জীবননগর উপজেলা, "
"সড়ক ১৩ই, "
"পোড়াদহ জংশন, "
কালিয়া নড়াগাতী চাপাইল রোড
"উত্তর চাষারা সড়ক, "
"মিঠাপুকুর অডিটরিয়াম হল, "
"রাজউক উত্তরা মডেল কলেজ, "
"ডেসকো বিদ্যুৎ অফিস, "
"বেড়িবাঁধ গলি, "
"সৈয়দপুর, "
"জাননাতবাগ সড়ক, "
"রাজারামপুর, "
"বিশ্বকর্মা জুয়েলারী হাউস, "
"দেবীগঞজ উপজেলা, "
"কাকিরতলা, "
"নিজ খামার, "
"মির্জাগঞ্জ, "
"ঝালকাঠি ডিসি অফিস, "
"শহীদ ইউসফ সড়ক, "
"চাঁদপুর সড়ক, "
"রূপালী ব্যাংক বন্দর বাজার শাখা, "
"বাহেরচর, "
মরাদনগর-বাঞছারামপর সড়ক
"উসমানের বাড়ির গলি, "
"কাখাংছড়ি, "
"চাঁদপুর হোটেল, "
"সাবানওয়ালা গলি, "
"নুরুদ্দীন আহমেদ সড়ক, "
"কুলুটোলা, "
"লরেল হোটেল, "
"সেক্টর ২৪, "
"হালিশহর সড়ক, "
"মিরপুর ১৪, "
"ভবন-৪, "
"ভুলতা সড়ক, "
"হোটেল কায়রো, "
"ইউনাইটেড হাসপাতাল, "
"গিরাইল, "
"বাঞ্ছারামপুর, "
আবদুল্লাহপুর ঘাট
"পঞচগড় সদর উপজেলা, "
"টর্কী, "
"মিরপুর ১০, "
"নিজামবাগ সড়ক, "
"কোম্পানিগঞ্জ, "
ছায়েরা খালি সামাজিক বনায়ন রোড
"মধ্যমচরি, "
"জামালপর জেলা, "
"চৌধুরীপাড়া জামে মসজিদ, "
"বাইতুল আজম জামে মসজিদ, "
"ঢাকা-কয়াকাটা মহাসড়ক, "
শিল্প এলাকা রোড
"লুধুয়া, "
"মৌলভিবাজার জেলা, "
"সিটি ব্যাংকের এটিএম, "
"মাসনিগছা, "
"ইসলামী ব্যাংক লিমিটেড, "
"মনোহরগন্জ আলিম মাদরাসা, "
"সোনার পাড়া, "
"জারিয়া ঝাঞ্জাইল, "
"বনওয়ারী নগর মডেল সরকারী প্ৰাথমিক বিদ্যালয়, "
"পশ্চিম কাফরুল, "
"আমিনবাগ জামে মসজিদ, "
"মাঝারদিয়া, "
"ঘোড়াশাল - পাঁচদোনা সড়ক, "
"নীলকমল, "
"পূর্ব খিলপাড়া, "
"মোমেনবাগ, "
"আইএফআইসি ব্যাংক এটিএম, "
"নাগদা, "
"আড্ডা বাজার, "
"আটোয়ারী উপজেলা, "
"নলডাঙ্গা, "
"পঞচায়েত বাড়ি সড়ক, "
"সীমান্ত ব্যাংক এটিএম, "
"মার্কেন্টাইল ব্যাংক লিমিটেডের এটিএম, "
"ঢাকা কলেজ মূল ভবন, "
"হোসেন আহমেদ পাড়া জামে মসজিদ, "
"লেন ১, "
"অপু ফার্মেসী, "
"জি ম সড়ক, "
"৮ নং গলি, "
"এন সি সি ব্যাংক লিমিটেড, "
"অতিশ দীপঙ্কর রোড, "
"বেড়িবাধ সড়ক, "
"কাওরান বাজার কাঁচা বাজার, "
"বিবাড়িয়া সুপার মার্কেট, "
"বড়জোড়া, "
"সাপুয়া, "
"থানা মসজিদ, "
"তিলপাপাড়া রোড, "
"আর হামজা সড়ক, "
"তালুকদার মার্কেট, "
"চান্দ্রা বাজার, "
মোড়েলগঞ্জ টু সরনখোলা রোড
"কলেজিয়েট স্কুল মসজিদ, "
"মিটন লন্ড্রি, "
"আলতাফনগর, "
"আড়ফাঙ্গাশিয়া ব্রীজ, "
"মহাদেবপুর, "
"সাচান দীঘি, "
"ধুরধুরিয়া সড়ক, "
"আফজালাবাদ, "
"পুড়াখালী, "
"নূরবাগ জামে মসজিদ গলি, "
"দিকনির্দেশ গ্রামীণ ব্যাংক, "
"গোলাবাড়ী, "
"পাতালপুরী রেস্টুরেন্ট এন্ড সুইটস, "
"মোসতান ঘাট গলি, "
"বড়াইগ্রাম, "
"রাজশাহী জেলা স্টেডিয়াম, "
"মান্দারী, "
"দূতাবাস সড়ক, "
পিরোজপর বেকটিয়া ফেরিঘাট ালকাঠী বরিশাল রোড
"সাভার সেনানিবাস কাঁচা বাজার, "
"তারা মেডিকেল সেন্টার ফার্মেসি, "
"ফরিদপর জেলা, "
"শহীদ লতিফ সড়ক, "
"বাংলাদেশ ব্যাংকের, "
"রিনাত আই কেয়ার, "
"আসিক হোটেল এন্ড রেষ্টুরেন্ট, "
"পিরোজপর-শাপলা বাড়ি সড়ক, "
পান পটটরি রোড
"বগুড়া - সারিয়াকান্দি সড়ক, "
"বগুড়া সরকারী বালিকা উচ্চ বিদ্যালয়, "
"মিঠাছরা জামে মসজিদ, "
"মধুপুর, "
"নোয়াপাড়া, "
"রকি ইলেকট্রনিক্স, "
"ডালপট্টি, "
"ত্রিশাল, "
"ছাতনাই উচ্চ বিদ্যালয়, "
"সটেশন সড়ক, "
"সিদ্ধিরগঞ্জ - আদমজী সড়ক, "
"মৃধা বাড়ি সড়ক, "
"হাজীপাড়া, "
"দোয়ারাবাজার, "
"পুটিয়া, "
নাজিরহাট শাহচৌমহনী লাকা সড়ক
"মাতারবাড়ী দ্বীপ, "
"মারিশা ডেন্টাল কেয়ার, "
"খুরুমখালি, "
"ভোলা মেডিসিন কর্নার, "
"ম রহমত আলী সড়ক, "
বাগান বিলাস রোড
"রাণীশংকৈল-নেকমরদ সড়ক, "
"শান্তিপুর জামে মসজিদ, "
"বায়তুল আমান জামে মসজিদ, "
