,bn_phrases,en_translated,Unnamed: 0
8147,"সড়ক ৪০১/১, ","Road 1/3,",
8148,"আমতলা মসজিদ, ","Amtala Mosque,",
8149,"মতিঝিল সরকারি প্রাথমিক বিদ্যালয় খেলার মাঠ, ","Motijheel Government Primary School playground,",
8150,"বাড্ডা বালিকা বিদ্যালয় সড়ক, ","Badda Girls' School Road,",
8151,"মাদ্রাসাতুল দারুল কুরান, ","Madrasatul Darul Quran,",
8152,"অতিথি কমিউনিটি সেন্টার, ","Guest Community Center,",
8153,"বাগবাড়ী মসজিদ, ","Bagbari Mosque,",
8154,"নবাবগঞ্জ পার্ক মাঠ, ","Nawabganj Park Field,",
8155,"কিসমত রেল ষ্টেশন, ","Kismat Rail Station,",
8156,"সান টেইলার্স, ","Sun Tailors,",
8157,"তর জিরান্তি, ",Terr,
8158,"জয়পুর, ","Jaipur,",
8159,"দক্ষিণ উদ্দামদী, ",South,
8160,"মসজিদ ই নুর জামে মসজিদ, ","Mosque E Noor Jame Mosque,",
8161,"মধুবাগ সেতু, ","Madhubag Bridge,",
8162,"সড়ক ২৩, ","Road 25,",
8163,"নুরে আল মদিনা, ","Noor Al Medina,",
8164,"সাচনমেঘ, ","Sanchmegh,",
8165,"অনুশীলন সংসদ, ","Practice Parliament,",
8166,"কাকরাইল, ","Kakrail,",
8167,"২ নং দূর্গাপুর (উত্তর) ইউনিয়ন পরিষদ, ","Durgapur (North) Union Council 2,",
8168,"গ্রামীন জন উন্নয়ন সংস্থা ও ব্যাংক এশিয়ার অস্থায়ী অফিস, ","Rural Public Development Organization and Bank Asia's temporary office,",
8169,"ফরিদপুর স্টেডিয়াম, ","Faridpur Stadium,",
8170,"লক্ষিপুর বাজার, ","Lakipur Bazar,",
8171,"এন আর বি কমার্শিয়াল ব্যাংক লিমিটেড, ","NRB Commercial Bank Limited,",
8172,"রাজারবাগ সার্ভিস ষ্টেশন, ","Rajarbagh Service Station,",
8173,"নাখালপাড়া, ","Nakhalpara,",
8174,"বেগম রোকেয়া গার্লস স্কুল অ্যান্ড কলেজ, ","Begum Rokeya Girls School and College,",
8175,"আই ব্লক সড়ক ৮, ","Eye block road 1,",
8176,"রাজা বাহাদুর সড়ক, ","King Bahadur Road,",
8177,"আপন রেস্টুরেন্ট, ","The own restaurant,",
8178,"ঘোষ দধি ভান্ডার, ","Ghosh Dadhi Bhandar,",
8179,"দক্ষিণভাগ, ","Southern part,",
8180,"শ্রী শ্রী রাধা গোবিন্দ সেবাশ্রম, ","Sri Sri Radha Govind Sevashram,",
8181,"রাধুনী হোটেল এন্ড রেষ্টুরেন্ট, ","Radhuni Hotel & Restaurant,",
8182,"টেকনাফ, ","Teknaf,",
8183,"জননী একাডেমিক কোচিং, ","Jaisani Academic Coaching,",
8184,"স্টেশন রোড, ","Station Road,",
8185,"পূর্ব নাখালপাড়া, ","East Nakhalpara,",
8186,"জেল রোড জামে মসজিদ, যশোর।, ","Jail Road Jame Mosque, Jessore.,",
8187,"কদমরসুল, ","Kadamrsul,",
8188,"মেরাদিয়া, ","Maradia,",
8189,"মৎস্য ভবন মোড়, ","Twist the fishery building,",
8190,"ঘূর্ণিঝড় আশ্রয় কেন্দ্র, ","The center of the cyclone shelter,",
8191,"এম এ জি ওসমানী আন্তর্জাতিক বিমানবন্দর, ","MAG Osmani International Airport,",
8192,"দুলাল ডেকোরেটর এন্ড সাউন্ড সিস্টেম, ","Dulal Decorator & Sound System,",
8193,"হাতিয়া দ্বীপ, ","Hatia Island,",
8194,"বুরহানুদ্দিন, ","Burhanuddin,",
8195,"কামরাবাদ, ","Kamarabad,",
8196,"উত্তর নারিবাড়ি, ",Northern North,
8197,"আল ফালাহ ব্যাংক শাখা, ","Al -Falah Bank Branch,",
8198,"গ্রিন হার্ট ক্যাডেট স্কুল, ","Green Heart Cadet School,",
8199,"মিরপুর-১০ গোলচক্কর, ","Mirpur-1 Golcakar,",
8200,"বউ বাজার, ","Wife Market,",
8201,"নূর কনফেকশনারি এন্ড ফাস্টফুড, ","Noor Confectionary & Fastfood,",
8202,"ব্রাক অফিস, ","BRAC office,",
8203,"সেনবাগ, ","Senbagh,",
8204,"চর বড়ালী, ","Char Barali,",
8205,"কেন্দ্রীয় মসজিদ ও এতিমখানা, ","Central mosque and orphanage,",
8206,"কাজিটোলা, ","Kazitola,",
8207,"জেঠিরাস্তা স্টেশন, ","Jethirasta Station,",
8208,"কুদ্দুসিয়া জামে মসজিদ, ","Kuddusia Jame Mosque,",
8209,"বেসিক ব্যাংক এটিএম, ","Basic Bank ATM,",
8210,"লগ গেইট সরকারি হাসপাতাল, ","Log Gate Government Hospital,",
8211,"পাকশিদিয়া, ","Pakshidia,",
8212,"টোল প্লাজা আশুগঞ্জ, ","Toll Plaza Ashuganj,",
8213,"তাড়াশ ডিগ্রী কলেজ, ","Tarash Degree College,",
8214,"ভাসানচর, ","Float,",
8215,"কাজী নজরুল ইসলাম সরণী, ","Kazi Nazrul Islam Sarani,",
8216,"নরুন্দি, ","Norundi,",
8217,"গরুর হাট, ","Beef hats,",
8218,"জাহারপুর, ","Zaharpur,",
8219,"এনআরবিসি ব্যাংক, ","NRBC Bank,",
8220,"পূবালী ব্যাংক লিমিটেডের এটিএম, ","ATM of Pubali Bank Limited,",
8221,"জনতা বাজার, ","Janata Market,",
8222,"আশুগঞ্জ, ","Ashuganj,",
8223,"চাঁদপুর হোটেল, ","Chandpur Hotel,",
8224,"সেলুন, ","Saloon,",
8225,"ক্যাফে আর্শি, ","Cafe Arshi,",
8226,"বায়তুল মোকাররম জাতীয় মসজিদ, ","Baitul Mukarram National Mosque,",
8227,"কাছিকাটা, ","Caica,",
8228,"কালিশকুঁড়ি, ","Kalishkuri,",
8229,"রমনি টেইলর, ","Romney Taylor,",
8230,"আমতলী লঞ্চঘাট, ","Amtali Launchghat,",
8231,"ব্র্যাকনেট লিমিটেড, ","BRACNET LIGHT,",
8232,"রাজরানী সুভাসিনী বালিকা উচ্চ বিদ্যালয়, ","Rajrani Subhashini Girls High School,",
8233,"রাজবাড়ী সরকারি আদর্শ মহিলা কলেজ, ","Rajbari Government Ideal Women's College,",
8234,"মিরপুর ১ বাস স্টপ, ","Mirpur 1 bus stop,",
8235,"তালতলা কমিউনিটি ক্লিনিক, ","Taltala Community Clinic,",
8236,"স্বরূপকাঠী বাস স্টেশন, ","Swarupakathi bus station,",
8237,নতুন বাজার পশ্চিম পাড়া রোড,New Market West Para Road,
8238,"কাউলীবেড়া বাজার, ","Kaolibara Bazar,",
8239,"উজান লালপুর, ","Ujan Lalpur,",
8240,উপজেলা রোড তেরখাদা,Upazila Road,
8241,"বুড়ী তিস্তা ব্যারেজ, ","Older Teesta Barrage,",
8242,"ভাগ্যকুল মিষ্টান্ন ভান্ডার, ","Better of the confectioner,",
8243,"বেতকা চৌরাস্তা বাস স্টপ, ","Betka Chowrasta Bus Stop,",
8244,"ব্র্যাক ব্যাংক লি, হাটহাজারী শাখা, ","BRAC Bank Li, Hathazari Branch,",
8245,"লেবুতলা বাজার, ","Lebutla Bazar,",
8246,"বেলগাছি, ","Belgachi,",
8247,"শশইয়া, ","Shashiya,",
8248,"অভিরুচি সিনেমা হল, ","Abhiruchi Cinema Hall,",
8249,"বেগম রোকেয়া হল, ","Begum Rokeya Hall,",
8250,"কাঞ্চননগর, ","Kanchannagar,",
8251,"আশরাফুল উলুম নিজপাট মাদ্রাসা, ","Ashraful Uloom Nizpat Madrasa,",
8252,"শিমুলিয়া, ","Shimulia,",
8253,"খাদেমুল ইসলাম মহিলা মাদ্রাসা ও এতিমখানা, ","Khademul Islam Women's Madrasa and Orphanage,",
8254,"সাগর বাড়ি গলি, ","Sea Home Golly,",
8255,"মাদরাসা-এ- তৈয়্যবিয়া তাহেরিয়া সুন্নিয়া, ","Madrasa-e-Taibia Taheria Sunnia,",
8256,"লালকুঠি ঘাট, ","Lalkuthi Ghat,",
8257,"উত্তরা সেক্টর ৭ মসজিদ, ","Uttara Sector 1 Mosque,",
8258,"নুরবাগ, ","Noorbagh,",
8259,"ভান্ডারিয়া সরকারি কলেজ, ","Bhandaria Government College,",
8260,"মডার্ন প্লাজা লিমিটেড, ","Modern Plaza Limited,",
8261,"আক্কেল আলীর গলি, ","Akkel Ali's lane,",
8262,"বি এন ইসলামী উচ্চ বিদ্যালয়, ","BNP Islami High School,",
8263,"নালী, ","The tube,",
8264,"খান বাড়ি, ","Khan's house,",
8265,"ইলিশা সড়ক, ","Elisha Road,",
8266,"ধোপাখালী, ","Wash,",
8267,"আশার চর, ","Of the hope of hope,",
8268,"ঝিনিয়া, ","Oyster,",
8269,"স্বরূপকাঠী পুরাতন লঞ্চঘাট, ","Swarupakathi old launchghat,",
8270,কাশিমপুর মধ্যপারা এবং উত্তরপারা রোড,Kashimpur Madhapara and Uttar Para Road,
8271,"রোড ৪, পিসিকালচার হাউজিং সোসাইটি, ","Road 1, Pisiculture Housing Society,",
8272,"রসুলপুর, ","Rasulpur,",
8273,"আমজুর হাট মসজিদ, ","Amjur Hat Mosque,",
8274,"পূর্ব আলী নগর ১ নং গলি, ","East Ali Nagar No. 4 lane,",
8275,"কমলাপুর রেলওয়ে হাসপাতাল, ","Kamalapur Railway Hospital,",
8276,"পাকারমাথা, ","Pacifica,",
8277,"এম আর অনু মোবাইল শপ, ","MO MOBILE SOP,",
8278,"খলিফাঘাট সড়ক, ","Khaliphaghat Road,",
8279,"দক্ষিন পুখুরিয়া বাইতুল হামদ জামে মসজিদ, ","South Pukhuria Baitul Hamd Jame Mosque,",
8280,"সেন্ট অ্যালবার্ট কিন্ডারগার্টেন, ","St. Albert Kindergarten,",
8281,"সাতগাঁও স্টেশন রোড, ","Satgaon Station Road,",
8282,"ড্রীম বিউটি পার্লার, ","Dream Beauty Parlor,",
8283,"দি নিউ সৃষ্টি কোচিং সেন্টার, ","The New Creation Coaching Center,",
8284,"জাঙ্গালপাড়া, ","Jangalpara,",
8285,"শাপলাপুর, ","Shapalapur,",
8286,"ইমপ্রেস ফিজিওথেরাপি এন্ড রিহ্যাবিলিটেশন সেন্টার, ","Impress Physiotherapy & Rehabilitation Center,",
8287,আমরাজুরী-কেউন্দিয়া সড়ক,Amarajuri-Kundia road,
8288,"ফ্রেন্ডস ক্লাব মাঠ, ","Friends Club Field,",
8289,"গোলারটেক খেলার মাঠ, ","Golartek playground,",
8290,"জনতা ব্যাংক (কাজীরবাজার শাখা), ","Janata Bank (Kazirbazar Branch),",
8291,ঝাউগড়া-হাজিপুর রোড়,Jhaugara-Hajipur Road,
8292,"সোনালী ব্যাংক এটিএম বুথ, ","Sonali Bank ATM booth,",
8293,"মাইটভাঙ্গা, ","Mitamanga,",
8294,"আকিজ ফিলিং স্টেশন, ","Akiz Filling Station,",
8295,"সবজি বাগান, ","In the garden of vegetables,",
8296,"লাকী হল মসজিদ, ","Lucky Hall Mosque,",
8297,"বাইতুল আমিন জামে মসজিদ, ","Baitul Amin Jame Mosque,",
8298,"ফাঁসিতলা বাজার, ","Market of the trap,",
8299,"লেক সার্কাস, ","Lake circus,",
8300,"বামনা, ","Bamna,",
8301,"গ্রিনলাইন বাস টার্মিনাল, ","Greenline bus terminal,",
8302,"কর্ণফুলী কমিনিউটি সেন্টার, পটিয়া, চট্টগ্রাম বিভাগ, ","Karnaphuli Community Center, Patiya, Chittagong Division,",
8303,"সড়ক ২ সেক্টর ১, ","Road 2 Sector 1,",
8304,"হোতাপাড়া, ","Hotpara,",
8305,"বনওয়ারী নগর মডেল সরকারী প্ৰাথমিক বিদ্যালয়, ","Banwari Nagar Model Government Primary School,",
8306,"চন্দ্রের বাড়ি সড়ক, ","Lunar's house road,",
8307,"রূপালী ব্যাংক বি বি অ্যাভিনিউ শাখা, ","Rupali Bank BB Avenue Branch,",
8308,"বজরা, ","Bajra,",
8309,"কলাবাগান পার্ক, ","Kalabagan Park,",
8310,"কোরাইসি সুপার মার্কেট, ","Korais Super Market,",
8311,"মুলিয়া, ","Mulia,",
8312,"নবাবপুর, ","Nawabpur,",
8313,"বামিহাল, ","Bamhahal,",
8314,"মনোহরখাদী, ","Fascinated,",
8315,"বেলঘর, ","Belghar,",
8316,"বেসিক ব্যাংক লিমিটেড, ","Basic Bank Limited,",
8317,"সুরপুর দখিন পারা জামে মসজিদ, ","Surpur Dakhin Para Jame Mosque,",
8318,"নবাব বাড়ী সড়ক, ","Nawab house road,",
8319,"কদিম ধল্যা সরকারি প্রাথমিক বিদ্যালয়, ","Kadim Dhali Government Primary School,",
8320,"ছাপড়া মসজিদ, ","Printing Mosque,",
8321,"কাশিপুর আল হাবিব হাসপাতাল (প্রাঃ), ","Kashipur Al Habib Hospital (Pvt),",
8322,"টোকিও স্কয়ার, ","Tokyo Square,",
8323,"চর এলাহী, ","Char Elahi,",
8324,"জনতা ব্যাংক লিমিটেড, হাটহাজারী, ","Janata Bank Limited, Hathazari,",
8325,"নরহর্দি, ","Narhrdi,",
8326,"অষ্টগ্রাম উপজেলা সম্প্রসারিত প্রশাসনিক এরিয়া, ","Ashtagram Upazila Extended Administrative Area,",
8327,"হাট বাজার, ","Hat Bazar,",
8328,"বাংলাদেশ রেলওয়ে সর্বজনীন পূজা মন্দির, ","Bangladesh Railway Public Puja Temple,",
8329,"নিউ জননি ইলেকট্রিক, ","New Johnny Electric,",
8330,"শাহ্জালাল ইসলামী ব্যাংক লিমিটেড, ","Shahjalal Islami Bank Limited,",
8331,"সরকারী পাইলট হাউজ, ","Government Pilot House,",
8332,"নবাব বাড়ি সড়ক, ","Nawab house road,",
8333,মধুমতি সেতু সংযোগ সড়ক,Honeymoon bridge connecting road,
8334,"বর্ণমালা কিন্ডারগার্টেন, ","Alphabet Kindergarten,",
8335,"কামারপাড়া সরকারি প্রাথমিক বিদ্যালয়, ","Kamarpara Government Primary School,",
8336,"কওরকান্দি, ","Kaurakandi,",
8337,"মাদ্রাসা গলি, ","Madrasa alley,",
8338,"বায়তুল আবেদ, ","Baitul Abed,",
8339,"বড় ভবানিপুর, ","Large Bhabanipur,",
8340,"রেড ক্রিসেন্ট ব্লাড ব্যাংক, ","Red Crescent Blood Bank,",
8341,"শতগুনী হস্তশিল্প, ","Hundreds of handicrafts,",
8342,"ফরিদপুর কলেজ, ","Faridpur College,",
8343,"নড়িয়া, ","Shakes,",
8344,"ইরা গার্ডেন, ","Ira Garden,",
8345,"বিয়াঘাট, ","Beyaghat,",
8346,"উত্তর কেন্দুয়া ক্লাস্টার মডেল সরকারি প্রাথমিক বিদ্যালয়, ","North Kendua Cluster Model Government Primary School,",
8347,"ছাতা মসজিদ সড়ক ১ নং গলি, ","Umbrella Mosque Road No. 4 alley,",
8348,"পুটিবিলা, ","Putbila,",
8349,"দৈনিক পটুয়াখালী বার্তা, ","Daily Patuakhali message,",
8350,"পিজা ইটালিয়ানা, ","Pizza Italiana,",
8351,"আশুগঞ্জ তাপ বিদ্যুৎ কেন্দ্র উচ্চ বিদ্যালয়, ","Ashuganj thermal power plant high school,",
8352,"সনাতনগড়, ","Sanatangarh,",
8353,"বাজার সড়ক, ","Market Roads,",
8354,"আবুল কালাম আজাদ মার্কেট, ","Abul Kalam Azad Market,",
8355,"কালেক্টরেট মাঠ, ","Collectorate field,",
8356,"গফরগাঁও-হোসেনপুর সড়ক, ","Gopargaon-Hoseenpur Road,",
8357,"নিকেরী পাড়া জামে মসজিদ, ","Nickeri Para Jame Mosque,",
8358,"সেক্টর ২৯, ","Sector 25,",
8359,ডাকবাংলা সড়ক,Dakbangla road,
8360,"আমুলিয়া পূর্বপাড়া মসজিদ, ","Amulia Eastpara Mosque,",
8361,"পূজা মন্দির, ","The temple of worship,",
8362,"ইউনিভার্সিটি অফ লিবারেল আর্টস, ","University of Liberal Arts,",
8363,"হাদিরা, ","Hadira,",
8364,"ব্র্যাক স্কুল গলি, ","BRAC school lane,",
8365,"পীরে কেবলা মুর্শিদে কামেল হযরত গাউছুল আজম বাবাজান কামাল-শামসুল ইসলাম মাইজ ভান্ডারী (কেঃ কাঃ রহঃ)'এর পবিত্র মাজার শরিফ।, ",Pir Kebla Murshid Kamel Kamel Hazrat Gausul Azam Babajan Kamal-Shamsul Islam Maiz Bhandari (KA Kah Rah) 'Sharif.,
8366,শবদার আলী মাস্টার রোড,Shabdar Ali Master Road,
8367,"ঝংকার, ","Jerk,",
8368,"চৌরঙ্গ, ","Chaurang,",
8369,"বাগান বাড়ি, ","Garden house,",
8370,"খান বাড়ী, ","Khan's house,",
8371,"বন্দর শিশুবাগ বিদ্যালয়, ","Port Childbag School,",
8372,"সেন্ট মার্টিন পশ্চিম সৈকত, ","St. Martin's West Beach,",
8373,"অমর বই ঘর, ","Immortal book house,",
8374,"ফতেয়াবাদ মসজিদ, ","Fatebad Mosque,",
8375,"শহীদ সালাম-বরকত হল, ","Shaheed Salaam-Barkat Hall,",
8376,"শহীদ মবিদুল ইসলাম মেমোরিয়াল উচ্চ বিদ্যালয়, ","Shaheed Mohibul Islam Memorial High School,",
8377,"লাল মাঠ, ","Red field,",
8378,"নবাবগঞ্জ বড় মসজিদের পিছনের গলি, ","Nawabganj Big Mosque Back Mosque,",
8379,"একাডেমিক বিল্ডিং কাম পরীক্ষাকেন্দ্র, ","Academic Building Come Test Center,",
8380,"সিটি ব্যাঙ্ক, ","City Bank,",
8381,"পশ্চিম মোমিনবাগ, ","West Mominbagh,",
8382,"আব্দুর রব বি.এ. পাঞ্জেগানা মসজিদ, ","Abdur Rob B.A.Panjagana Mosque,",
8383,"সড়ক ২৮, ","Road 25,",
8384,"নারিবাড়ি, ","Wharbari,",
8385,"মুলাডুলি কলেজ, ","Muladuli College,",
8386,"মদিনা ট্যানারি, ","Medina Tannery,",
8387,"চান্দনা, ","Chandana,",
8388,"বেপারী পাড়া, ",Lap,
8389,"শহীদ মিনার, ","Shaheed Minar,",
8390,"নয়াবাজার, ","Nayabazar,",
8391,"ঢাকা-নারায়ণগঞ্জ সংযোগ সড়ক, ","Dhaka-Narayanganj Connection Road,",
8392,"কালীপুর, ","Kalipur,",
8393,"সড়ক ৩ সেক্টর ১, ","Road 1 Sector 1,",
8394,"সূর্যেবানু রেস্তোরা, ","Sun Restaurant,",
8395,"বাজিতপুর সড়ক, ","Bajitpur Road,",
8396,"ব্র্যাক ব্যাংক লিমিটেড এটিএম, ","BRAC Bank Ltd ATM,",
8397,"রশুনিয়া, ","Carunia,",
8398,"কমলাপুর সড়ক, ","Kamalapur Road,",
8399,"ডাকবাংলো বাজার, ","Dakbanglo Bazar,",
8400,"ঊর্মী কনফেকশনারী, ","Urmi Confectionary,",
8401,"বাজার মসজিদ, ","Market Mosque,",
8402,"মিল ব্যারাক, ","Mill Barracks,",
8403,"দেবীগঞ্জ, ","Deviganj,",
8404,গেণ্ডারিয়া নতুন রাস্তা,Gandaria is the new road,
8405,বেদে পারা রোড,Veda Para Road,
8406,"দ্যা সিটি ব্যাংক, ","The City Bank,",
8407,"খাবার পানি, ","The water of food,",
8408,"ইছাপুর, ","Ichapur,",
8409,"সটাকি, ","Sutaki,",
8410,"বামুন্দি-হাটবোয়ালিয়া-আলমডাঙ্গা সড়ক, ","Bamundi-Hatbawalia-Alamdanga Road,",
8411,"মুন্সির হাট, ","Munshi Hat,",
8412,"ধান গবেষণা সড়ক প্রথম গলি, ","Rice Research Road first lane,",
8413,"ফুলবাড়িয়া বাজার, ","Phulbaria Bazar,",
8414,"জালিয়াপালং, ","Jaliapalong,",
8415,গার্লস স্কুল রোড,Girls' School Road,
8416,"খরনা, ","Kick,",
8417,"রুহাই, ","Ruhai,",
8418,"নুরের চালা, ","Nur shed,",
8419,"বাঙ্গালহালিয়া কাঁচা বাজার, ","Bangalhalia raw market,",
8420,"খাজা ডিপার্টমেন্টাল স্টোর, ","Khwaja Departmental Store,",
8421,"আইবিবিএল, ","IBBL,",
8422,"ছাত্রবন্ধু লাইব্রেরী, ","Student Bandhu Library,",
8423,"কেওড়া চর, ","Kewara chars,",
8424,"রাজবাঁধ, ","Rajbandh,",
8425,"বই খাতা ঘর, ","The booklet houses,",
8426,"মধুমতি ব্যাংক লিমিটেড, ","Madhumati Bank Limited,",
8427,আয়েশ বাজার,Lathe market,
8428,"পটুয়া পাড়া, ","Patua Para,",
8429,"আরবান কোচিং সেন্টার, ","Urban Coaching Center,",
8430,"ডোমার, ","Domar,",
8431,"দক্ষিণ নদোনা, ","South Nada,",
8432,"খাবারের হোটেল, ","Hotel of food,",
8433,"বস্তা, ","Sack,",
8434,"হরিনচড়া বাজার, ","Harinchara Bazar,",
8435,"হুজুরপাড়া, ","Hujurpara,",
8436,"সড়ক ২২, ব্লক কে, ","Road 22, Block K,",
8437,"জনতা লাইব্রেরী এন্ড ফটোকপি, ","People's Library & Photocopy,",
8438,"ঊপজেলা রোড, ","Epzela Road,",
8439,"এনায়েতপুর, ","Enayetpur,",
8440,"লাকী ফুড গার্ডেন, ","Lucky Food Garden,",
8441,"সেক্টর ৩ সড়ক ১০, ","Sector 1 Road 1,",
8442,"বাস্তুহারা, ",Eastern,
8443,"কেএফসি খিলগাঁও, ","KFC Khilgaon,",
8444,"সততা ইঞ্জিনিয়ারিং ওয়ার্কশপ, ","Integrity Engineering Workshop,",
8445,"দনিয়া বিশ্ববিদ্যালয় কলেজ, ","Donia University College,",
8446,"দেবীগঞ্জ মহিলা কলেজ, ","Deviganj Women's College,",
8447,"চেরমেন বাড়ি সি এন জির মোর, ","Cherman home c n gir mo,",
8448,"ফুল্বাড়ীগেট শহীদ মিনার, ","Fulbarigate Shaheed Minar,",
8449,"লোটরা, ","Lotra,",
8450,"এখানে কোনো হাসপাতাল নাই, ","There is no hospital here,",
8451,সেক্টর ১,Sector 1,
8452,"আধারা, ","Half,",
8453,"বনানী ব্লুজ এফসি মাঠ, ","Banani Blues FC Field,",
8454,"কাঠ পট্টি মোচড়ের গলি, ","Wood to twist the wood,",
8455,"জে.এন সাহা সড়ক, ","JN Saha Road,",
8456,"সুলতানগঞ্জ, ","Sultanganj,",
8457,"জাতীয় স্মৃতিসৌধ জামে মসজিদ, ","National Memorial Jame Mosque,",
8458,"মেঘনা সেতু, ","Meghna Bridge,",
8459,"পঞ্চতত্ত্ব'স, ","Panchayatti's,",
8460,"জিঞ্জিরা, ","Ginjira,",
8461,"কাঁঠালদিয়া, ","Kantaladia,",
8462,"বারখাদা, ","Barakhada,",
8463,"জৈবরসায়ন ও অণুজীব বিজ্ঞান অনুষদ, ","Faculty of biochemistry and microorganisms,",
8464,"ধর্মপাশা, ","Religion,",
8465,"সড়ক ৬৮, ","Road 1,",
8466,"বরিশাল বিশ্ববিদ্যালয়, ","Barisal University,",
8467,"সড়ক ৪ সেক্টর ১, ","Road 1 Sector 1,",
8468,"মধ্য পাইকপাড়া, ","Mid Pikepara,",
8469,"আই ব্লক সড়ক ৪, ","Eye Block Road 1,",
8470,"মসজিদুল বাকী, ","The mosque is the rest,",
8471,"পাচঁবিবি, ",Packet,
8472,"আরাফাত দোকান ও রাজিয়ার ট্রেডিং, ","Arafat Shop and Razia Trading,",
8473,"আমেরিকান সুপারস্পেসটিটি হাসপাতাল, ","The American SuperSpacety Hospital,",
8474,"দূরগাঁও, ","Durgaon,",
8475,"মাদ্রাসা দারুস সুন্নাহ, ","Madrasa Darus Sunnah,",
8476,"মোহাম্মদ নগর, ","Mohammad Nagar,",
8477,"ন্যাশনাল ইনস্টিটিউট অব নিউরো সায়েন্সেস ও হাসপাতাল, ","The National Institute of Neuro Sciences and Hospital,",
8478,"মরিয়ম ইসলামিয়া মাদ্রাসা এন্ড স্কুল, ","Maryam Islamia Madrasa and School,",
8479,"স্ট্যান্ডার্ড চার্টার্ড ব্যাংক, ","Standard Chartered Bank,",
8480,"চক সূত্রাপুর, ","Chuck Sutrapur,",
8481,"রূপসদী উওর পারা শহীদ মিনার, ","Shaheed Minar, Rupsadi Uor Para",
8482,"আইএফআইসি ব্যাংক, কাটাসুর উপশাখা, ","IFIC Bank, Katasur subcontinent,",
8483,"চন্দ্রিমা উদ্যান (জিয়া উদ্যান) সড়ক, ","Chandrima Gardens (Zia Gardens) Road,",
8484,"বনানী মডেল স্কুল, ","Banani Model School,",
8485,"পানগাঁও, ","Pangaon,",
8486,"মুনেম ফেব্রিক্স, ","Fabrics of the Munem,",
8487,"নেকমরদ, ","Neckmore,",
8488,"প্রিন্স বাজার লিমিটেড, ","Prince Bazar Limited,",
8489,"রাজপাড়া খুড়ানগর সরকারী প্রাথমিক বিদ্যালয়, ","Rajpara Khurranagar Government Primary School,",
8490,"বেজোড়া দক্ষিণপাড়া, ","Bejora southpara,",
8491,"মধ্যপাড়া জামে মসজিদ, ","Midpara Jame Mosque,",
8492,আঠারো মাইল টু তালা রোড,Eighteen miles -to -lock road,
8493,"খেলার-মাঠ, ","Play-field,",
8494,"খুলনার ধাপ, ","Khulna step,",
8495,"ইছাপুরা মাছ বাজার, ","Ichapura fish market,",
8496,"পাঁচদোনা মোড় জামে মসজিদ।, ","Five Donna Mosque Mosque.,",
8497,"হাওলাদার বাড়ি জামে মসজিদ, ","Hawlader's house Jame Mosque,",
8498,"জামিয়া ইসলামিয়া কাসেমুল উলূম মাদ্রাসা, ","Jamia Islamia Qasemul Ulum Madrasa,",
8499,"নলছিটি, ","Nalchiti,",
8500,"ভাদাই, ","Vadai,",
8501,"নৌবাহিনীর সুইমিং পুল, ","Navy swimming pool,",
8502,"ঘারুয়া, ","Gharua,",
8503,"ইসল বাড়িয়া, ","Increase Isl,",
8504,"মীরকুন্ডি, ","Mirkundi,",
8505,"ডগরমোড়া জামে মসজিদ, ","Dagarora Jame Mosque,",
8506,"কুষ্টিয়া, ","Kushtia,",
8507,"ফজলুল করিম গলি, ","Fazlul Karim alley,",
8508,"মুক্তিযুদ্ধের ভাস্কর্য, ","The sculpture of the War of Liberation,",
8509,"সড়ক ৬৫, ","Road 1,",
8510,"কালীবাড়ী মন্দির, ","Kalibari Temple,",
8511,"সোস্যাল ইসলামী ব্যাংক লিমিটেড, ","Social Islamic Bank Limited,",
8512,"রূপালী ব্যাংক বৈদেশিক লেনদেন কর্পোরেশন শাখা, ","Silver Bank Foreign Transaction Corporation Branch,",
8513,"ডামুড্যা, ","Damuda,",
8514,"পুলিশ কাবাব ঘর, ","The police kebab house,",
8515,"ওয়ান ব্যাংক, ","One Bank,",
8516,"শ্রী শ্রী কালী মন্দির, ","Sri Sri Kali Temple,",
8517,"মিরপুর ১১, ","Mirpur 1,",
8518,"দুওসুও জামে মসজিদ, ","Two Jame Mosque,",
8519,"জালালাবাদ ক্যান্টনমেন্ট পাবলিক স্কুল এন্ড কলেজ, ","Jalalabad Cantonment Public School & College,",
8520,"সেলিম মার্কেট, ","Selim Market,",
8521,হাজী আনোয়ার আলী সওদাগর বাড়ী রোড,Haji Anwar Ali Saudagar Ghar Road,
8522,"ধুনট, ","Wash,",
8523,"কেন্দ্রীয় গ্রন্থাগার, ","Central Library,",
8524,"ভৈরব বাস স্টেশন, ","Bhairab bus station,",
8525,"কলমাকান্দা, ","Kalmakanda,",
8526,"কুষ্টিয়া রাজশাহী মহাসড়ক, ","Kushtia Rajshahi Highway,",
8527,"কাঠালবাড়ি স্পিড বোট ঘাট, ","Kathalbari Speed Boat Ghat,",
8528,"দঃ ভালুকসী বাইতুন নূর জামে মসজিদ, ","Dr. Valukasi Baitun Noor Jame Mosque,",
8529,"সলিম ভাইয়ের চা গলি, ","Salim Bhai's tea alley,",
8530,"ঘোড়াঘাট, ","Horseback,",
8531,"রামপট্টি বায়তুন নূর জামে মসজিদ, ","Rampatti Baitun Noor Jame Mosque,",
8532,"নৌকা ক্লাব নৌকা নোঙ্গর স্টেশন, ","Boat Club Anchor Station,",
